key,version,english,notes,tag,link
Heth,5.9,Heth,Gen 10:15,bible,
Jebusite,5.9,Jebusite,Gen 10:16,bible,
Amorite,5.9,Amorite,Gen 10:16,bible,
Girgashite,5.9,Girgashite,Gen 10:16,bible,
Hivite,5.9,Hivite,Gen 10:17,bible,
Arkite,5.9,Arkite,Gen 10:17,bible,
Sinite,5.9,Sinite,Gen 10:17,bible,
Arvadite,5.9,Arvadite,Gen 10:18,bible,
Zemarite,5.9,Zemarite,Gen 10:18,bible,
Hamathite,5.9,Hamathite,Gen 10:18,bible,
Cush,5.9,Cush,Gen 10:6,bible,
Nimrod,5.9,Nimrod,Gen 10:8,bible,
Mizraim,5.9,Mizraim,Gen 10:14,bible,
Casluh,5.9,Casluh,1 Chronicles 1:12 (Philistines),bible,
Japheth,5.9,Japheth,Gen 10:1,bible,
Asshur,5.9,Asshur,Gen 10:22,bible,
Lud,5.9,Lud,Gen 10:22,bible,
Aram,5.9,Aram,Gen 10:22,bible,
Elam,5.9,Elam,Gen 10:22,bible,
Joktan,5.9,Joktan,Gen 10:26,bible,
Almodad,5.9,Almodad,Gen 10:26,bible,
Sheleph,5.9,Sheleph,Gen 10:26,bible,
Hazarmareth,5.9,Hazarmareth,Gen 10:26,bible,
Jerah,5.9,Jerah,Gen 10:26,bible,
Hadoram,5.9,Hadoram,Gen 10:27,bible,
Uzal,5.9,Uzal,Gen 10:27,bible,
Diklah_Obal,5.9,"Diklah, Obal",Gen 10:27,bible,
Abimael,5.9,Abimael,Gen 10:28,bible,
Sheba_Ophir,5.9,"Sheba, Ophir","Gen 10:28, 29",bible,
Havilah,5.9,Havilah,Gen 10:29,bible,
Jobab,5.9,Jobab,Gen 10:29,bible,
Ham_fn,5.9,1) Egyptians: Psalms 105:23,2025-09-22,bible,
Canaan_fn,5.9,2) Canaanites: Joshua 13:3,2025-09-22,bible,
Aram_fn,5.9,3) Arameans: Hosea 12:12,2025-09-22,bible,
Elam_fn,5.9,4) Elamites: Ezra 4:9,2025-09-22,bible,
Asshur_fn,5.9,5) Assyrians: Ezekiel 27:23,2025-09-22,bible,
Casluh_fn,5.9,6) Philistines: 1 Chronicles 1:12,2025-09-22,bible,
Cush_fn,5.9,7) Ethiopian [Cushite]: 2 Kings 19:9,2025-09-22,bible,
Edom_fn,5.9,8) Edomites: Numbers 20:14-17,2025-09-22,bible,
Moab_fn,5.9,"9) Moabites: Deuteronomy 23:3, 4",2025-09-22,bible,
Ammon_fn,5.9,10) Ammonites: Joshua 12:2,2025-09-22,bible,
Midian_fn,5.9,"11) Midianites: Numbers 31:2, 3",2025-09-22,bible,
Amalek_fn,5.9,12) Amalekites: 1 Samuel 15:2,2025-09-22,bible,
Teman_fn,5.9,13) Temanites: Job 42:7,2025-09-22,bible,
Sidon_fn,5.9,14) Sidonians: Zechariah 9:2,2025-09-22,bible,
Heth_fn,5.9,15) Hittites: Genesis 15:20,2025-09-22,bible,
Jebusite_fn,5.9,16) Jebusites: Joshua 15:63,2025-09-22,bible,
Judith,5.9,Judith?,"Genesis 26:34, 35",bible,
Lud_fn,5.9,17) Lydians: 1 Chronicles 1:17,"Jewish Antiquities, I, 143, 144 [vi, 4]",bible,
Ishmael_fn,5.9,18) Ishmaelites: Genesis 37:27,2025-09-22,bible,
Amorite_fn,5.9,19) Amorites: Judges 6:10,2025-09-22,bible,
Hivite_fn,5.9,"20) Hivites [Gibeon]: Joshua 9:3, 7",Gibeonites,bible,
Cain,6.01,Cain,"Genesis 4:1, son Enoch same name as other",bible,
Abel,6.01,Abel,Genesis 4:2,bible,
Irad,6.01,Irad,Genesis 4:18,bible,
Mehujael,6.01,Mehujael,Genesis 4:18,bible,
Methushael,6.01,Methushael,"Genesis 4:18, son Lamech same as other",bible,
Jabal,6.01,Jabal,"Genesis 4:20 living in tents, have livestock",bible,
Jubal,6.01,Jubal,Genesis 4:21 play harp and pipe,bible,
Zillah,6.01,Zillah,"Genesis 4:19, Adah is also a wife of Esau",bible,
Tubal-cain,6.01,Tubal-cain,Genesis 4:22 tool of copper and iron,bible,
Naamah,6.01,Naamah,Genesis 4:22 his sister,bible,
Rehoboam,4.1,Rehoboam,first king of southern kingdom of Juda,A6-A,
Abijah,4.1,Abijah (Abijam),"3 years, also Abijam",A6-A,
Asa,4.1,Asa,A6-A,A6-A,
Jehoshaphat,4.1,Jehoshaphat,,A6-A,
Jehoram2,4.1,Jehoram,,A6-A,
Ahaziah,4.1,Ahaziah,,A6-A,
Athaliah,4.1,Queen Athaliah,Queen Athaliah,A6-A,
